title,company,location,salary_min,salary_max,category,description,created,redirect_url
Salesforce Marketing Cloud Dev Lead,Persistent Systems,India,,,IT Jobs,"About Position: We are an AI-led, platform-driven Digital Engineering and Enterprise Modernization partner, combining deep technical expertise and industry experience to help our clients anticipate whats next. Our offerings and proven solutions create a unique competitive advantage for our clients b",2026-06-01T10:21:25Z,https://www.adzuna.in/land/ad/5747040287?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=C1132F6BF088AF9983422A36AED9260CD543B636
Assistant General Manager - Sourcing and Vendor Development - Capital goods,Ultraviolette Automotive,"Bangalore, Karnataka",,,Retail Jobs,"Job Role Strong experience in Scanning the Market/Industry and Preparation for Negotiations. Superior negotiation skills and ability to influence key stakeholders. Experience in negotiation and procurement of Capital goods, Non-Productive Purchases, Real Estate, Civil and Office or Factory Office In",2026-06-06T07:37:35Z,https://www.adzuna.in/land/ad/5753853638?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=11EFE4BD71B85F3B6C967F23EA36031D6ACFE7A7
Admission Counsellor,upGrad,"Hyderabad, Telangana",,,Sales Jobs,"Job Title: Academic Counsellor – Offline Learning Centres Location: Hyderabad Working Days: 6 (Monday – Saturday) About upGrad Founded in 2015, upGrad is Asia’s largest integrated Learning, Skilling, Workforce Development, and Placement company. Its offerings include online and hybrid degrees, study",2026-05-27T18:12:23Z,https://www.adzuna.in/land/ad/5742257121?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=512B24D79AAA0E1D6F25AD02D9DEF63046FB8366
Walkin Drive For DG - Functional Steward on 12th June 26 @Bangalore,Infosys BPM,"Bangalore, Karnataka",,,IT Jobs,"Exclusive Walkin Drive for DG - Functional Steward at Bangalore-Phase 2 on 12 th June 26 Greeting from Infosys BPM Ltd., You are kindly invited for the Infosys BPM: Walk-In Drive on 12th June 26 Note: Please carry copy of this email to the venue and make sure you register your application before att",2026-06-04T16:48:39Z,https://www.adzuna.in/land/ad/5751934380?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=27B61875161008C404E0903D522D3B3D626A5714
SAP ABAP CRM Technical Consultant,PwC Acceleration Center India,"Bangalore, Karnataka",,,IT Jobs,"Greetings from Pwc! R ole- SAP ABAP CRM Technical consultant Experience-5years Location -Pune, Hyderabad, Noida, Bangalore, Chennai, Coimbatore Notice Period- Immediate joiners Job Description- Must have experience in SAP ABAP CRM Must have SAP ABAP CRM Technical experience Must have experience 5-10",2026-05-30T08:30:46Z,https://www.adzuna.in/land/ad/5745168993?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=8C0764B4308D9089735780FD172AD6602070A6F6
SAP PAPM Consultant,HCLTech,"Noida, Ghaziabad",,,IT Jobs,"Job Title: SAP SD Consultant (with SAP PAPM Experience) Location: Noida Experience: 7 Years About the Role We are looking for an experienced SAP SD Consultant with exposure to SAP PAPM to join our dynamic team. The ideal candidate will have strong expertise in Sales & Distribution processes , along ",2026-06-11T21:08:15Z,https://www.adzuna.in/land/ad/5760050195?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=2F5D3B233794BA398906FE9FE82229BEE0A094E6
Corporate Legal Officer,People Tech Group Inc,"Hyderabad, Telangana",,,Legal Jobs,"Job Title: Corporate Legal Officer Location: Hyderabad Experience: 6 years About People Tech Group People Tech Group is a global digital transformation and AI-first services company, trusted by Fortune 500 and global enterprises. We specialize in Data & AI, Cloud, GenAI, IoT, Enterprise Platforms, a",2026-06-10T18:02:39Z,https://www.adzuna.in/land/ad/5758515163?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=14730562F171C032454C783B684AC74756421650
Orthodontist,Illusion Dental Laboratory,"Mumbai, Maharashtra",,,Healthcare & Nursing Jobs,Roles & Responsibilities: Take ownership of Aligner treatment experience and troubleshooting. Utilize clinical expertise and biomechanics knowledge to create predictable treatment plans with Aligners. Work with Aligner planning software for detailed and precise treatment planning. Conduct case diagn,2026-05-15T09:19:48Z,https://www.adzuna.in/land/ad/5730010235?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=5AE73A52DAE978B9F8BC9117D272040D4D83C52F
Tax Senior - 1120,Elliott Davis,"Bangalore, Karnataka",,,Accounting & Finance Jobs,"Our Mission, Vision and Values Mission: To provide exceptional service for our people, our customers and our communities. Vision : Elevate all experiences by caring more. Values : Do the right thing, Service to others, Mutual Respect, Always Getting Better, Quality Job Summary We are looking for an ",2026-02-08T02:04:15Z,https://www.adzuna.in/land/ad/5619616803?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=D60F3626096C4310B252FA89F10BFA420765D7C8
Accountant / Bookkeeping,Papaya Global,"Bangalore, Karnataka",,,Accounting & Finance Jobs,"Papaya Global is reinventing global payroll and workforce management. Our automated platform helps companies hire, onboard, manage, and pay employees in more than 160 countries. We are seeking an experienced Accountant to own the full accounting cycle through trial balance for our India entity. The ",2026-06-07T07:49:24Z,https://www.adzuna.in/land/ad/5754998471?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=F8C8DC43AB460AAFFC3A0418DEA995CE5731FACC
Mega Walkin Drive for SAP CPI on 30-May-26-Chennai,Tata Consultancy Services,"Chennai, Tamil Nadu",,,IT Jobs,TCS has been a great pioneer in feeding the fire of Young Techies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together. TCS is Looking for CPI We are delighted to invite you for a discussion to get to know more about you and your profess,2026-05-26T18:10:13Z,https://www.adzuna.in/land/ad/5741247532?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=017BDFAC82231A3B7DEB9E90D2C2BAB10B5BAC59
Data Modeler,Tredence Inc.,"Bangalore, Karnataka",,,IT Jobs,"About the Company: Tredence focuses on last-mile delivery of powerful insights into profitable actions by uniting its strengths in business analytics, data science and software engineering. The largest companies across industries are engaging with us and deploying their prediction and optimization s",2026-06-11T21:04:40Z,https://www.adzuna.in/land/ad/5760048893?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=2765C44ACE779239D9BA700479A37D7540223908
Senior Quality Assurance Automation Engineer,QualiZeal,"Hyderabad, Telangana",,,IT Jobs,"Job Description – Junior/Senior Automation Engineer (Playwright  C#) Role Overview We are looking for a Junior/Senior Automation Engineer with strong experience in Playwright automation using C# to design, develop, and maintain automated test suites for web applications. The candidate will work clos",2026-05-29T08:24:14Z,https://www.adzuna.in/land/ad/5744182548?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=4FDA4BFD844E419E940BA0D495066DCDFD42668F
Sr.Executive Accounts,WALLOP ADVERTISING PRIVATE LIMITED,"Mumbai, Maharashtra",,,Accounting & Finance Jobs,"Tips: Provide a summary of the role, what success in the position looks like, and how this role fits into the organization overall. Roles & Responsibilities 1. Accounting & Bookkeeping Maintain accurate accounting records and ensure timely entry of financial transactions. Prepare and verify vouchers",2026-06-14T14:46:24Z,https://www.adzuna.in/land/ad/5763491046?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=F047429B0F4C7118A1F35036E94404AE6A112349
Senior AI Engineer,"C3iHub, IIT Kanpur","Kanpur Dehat, Uttar Pradesh",,,IT Jobs,"About the Role We are looking for a Senior AI Engineer to design and develop advanced AI-driven cybersecurity systems capable of reasoning over vulnerability detection, complex security data analysis, analyst assistance, and automation of security operations workflows. This role extends beyond tradi",2026-05-27T18:11:30Z,https://www.adzuna.in/land/ad/5742256559?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=2D044FC3631F625EAF6609F683D6D302350BACBE
Creative Head - Promos,Republic World,"Noida, Ghaziabad",,,Creative & Design Jobs,"We are seeking a hands-on Creative Head - Promos who will lead and build a high-performing creative team while driving the visual identity of creative promos across the Republic Network. This is a team-first leadership role for a highly creative professional who can guide, mentor, and elevate a team",2026-05-30T08:29:50Z,https://www.adzuna.in/land/ad/5745167208?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=EA442B97A033FEE87C4E1CEFC28F00A8A003ADEE
SAP GRC Consultant,Tata Consultancy Services,"Kolkata, West Bengal",,,IT Jobs,"Greetings from TCS Come and join us for an exciting career with TCS We are arranging an in-person (Face 2 Face) Walk-in Drive at below mentioned details, please proceed with this job posting only if you can attend the Walk-in Drive. Location: - Tata Consultancy Services Ltd. Gitanjali Park, Internat",2026-06-01T10:17:24Z,https://www.adzuna.in/land/ad/5747037737?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=332FBDE76623113688B46901639D9988ABBCD230
IT Systems Administrator,Computer Ware India Private Limited,"Delhi, India",,,IT Jobs,"Profile: System & Network Admin / Sr. Engineer/ Sys Admin Profile with great desktop skills ( hardware, software, networking and mail support)plus skills to handle server level problems and network security related issues. Summary You would be responsible for ITIL Based Service Delivery inclusive of",2026-04-18T17:12:07Z,https://www.adzuna.in/land/ad/5703569061?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=DDA2A755D1D168E46AF7CA092B5C4654F0276661
Property Management Specialist,KAPS,India,,,Property Jobs,"Company Description KAPS is a specialized outsourcing provider focused on high-quality accounting and staffing solutions for businesses of all sizes. The company partners with clients to streamline operations, reduce overhead, and increase efficiency through tailored support services. By taking on e",2026-06-10T18:02:40Z,https://www.adzuna.in/land/ad/5758515200?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=4A2E5324D934A6DAC3C581C4330FE81DDE046FBB
Site Sales Head - Manjri (Pune),Birla Estates,India,,,Sales Jobs,Purpose : Drive direct and broker-led sales through the sales team and drive behaviors & actions to generate a superior customer experience at the site. Principal Accountabilities Market Research and Product Development - Analyse competitor strategies and market conditions to provide actionable insi,2026-05-21T17:36:01Z,https://www.adzuna.in/land/ad/5736369594?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=21A7A7B735088E854FC0514FD1A966552FB91EBA
Senior Graphic Designer,Schbang,"Bangalore, Karnataka",,,Creative & Design Jobs,Senior Graphic Designer  Location: Bengaluru (Kodihalli)  Company: Schbang (Please note this is an Full-time In-house onsite role and not remote or hybrid) Role Overview Schbang is looking for a Senior Graphic Designer with a strong advertising agency background who can translate brand narratives in,2026-04-19T17:25:24Z,https://www.adzuna.in/land/ad/5704495706?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=E5375DD2504026D744E5293588A7514386A8CAFD
TCS Is Hiring For EUC- Desktop,Tata Consultancy Services,"Delhi, India",,,IT Jobs,"About the Role The role involves managing the lifecycle of EUC devices, ensuring proper configuration, inventory management, and compliance with organizational standards. Responsibilitie sLifecycle Managemen t: Forecast and order management for EUC devices. Coordination with third-party vendors for ",2026-06-11T21:03:09Z,https://www.adzuna.in/land/ad/5760048265?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=45656EB3B063D953F9FE942AA7A058BE68DC9026
Customer Support Executive,TP,"Chennai, Tamil Nadu",,,HR & Recruitment Jobs,Greetings from Teleperformance! We are Hiring Customer service Executive for International E-mail/Chat (Immediate Joiners Preferred) Job Description: We are looking for candidates who have hands-on experience in International Email/Chat with Good English communication skills. Requirements: Candidate,2026-05-28T18:22:09Z,https://www.adzuna.in/land/ad/5743507574?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=57137FFFDE4752EA4699D6F89E867FD8B818ABB8
Head of Supply Chain Management,Amadora Gourmet Ice Cream & Sorbet,"Chennai, Tamil Nadu",,,Hospitality & Catering Jobs,"Head of Supply Chain — Amadora Gourmet Ice Cream  Chennai (with regular travel to Bengaluru & Hyderabad) About Amadora Amadora is a premium artisanal ice cream brand, crafting small-batch ice cream from real ingredients — no premixes, no shortcuts — out of our central production kitchen in Chennai. ",2026-06-03T16:36:16Z,https://www.adzuna.in/land/ad/5750487874?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=BB53B08A887A0BE91B1A1C0D6AE334C4B0D88346
B2C Inside Sales Specialist - Admissions (EdTech),Boston Institute of Analytics,"Mumbai, Maharashtra",,,Sales Jobs,"Company: Boston Institute of Analytics (BIA) Location: Andheri East, Mumbai (On-site) Experience: 1-4 Years Employment Type: Full-time Industry: EdTech / Career Upskilling About Boston Institute of Analytics The Boston Institute of Analytics is one of the top-ranked international education and train",2026-06-16T01:25:49Z,https://www.adzuna.in/land/ad/5764576347?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=577658135046318E5E6AC991A482AAD54923B7A7
Senior Graphic Designer,Atlantiser®,"Ahmedabad, Gujarat",,,Creative & Design Jobs,"Company Description Atlantiser® is a full-service creative agency dedicated to building and scaling impactful and purposeful brands and digital experiences. By combining strategy, design, and technology, we deliver solutions that drive business success while fostering meaningful connections. With a ",2026-05-27T18:10:17Z,https://www.adzuna.in/land/ad/5742256186?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=AF62203A4E8A90C013F75660739752F19A26CBA7
Team member – In vitro In vivo toxicology.,Cipla,"Mumbai, Maharashtra",,,Healthcare & Nursing Jobs,"Designation - Deputy Manager Job Description: Team member – In vitro In vivo toxicology . Key Responsibilities: Experimental Toxicology & Preclinical Research Develop preclinical strategies supporting differentiated product development. Plan, outsource, oversee, and interpret in vitro and in vivo pr",2026-06-06T07:40:36Z,https://www.adzuna.in/land/ad/5753854984?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=E208460CDFA147A8D448614D685AA618F6D3A46C
Vice President Finance,UNLOCK BUSINESS CONSULTING,"Nellore, Andhra Pradesh",,,Accounting & Finance Jobs,"Vice President (VP) - Finance (Growth Path to CFO) * Location: Nellore, Andhra Pradesh * Industry: Seafood * Company Size: Approx. INR 900 Cr Turnover * Compensation: INR 40–60 LPA (Depending on experience and fitment) About the Company Our client is a well-established and rapidly growing seafood an",2026-06-13T10:50:18Z,https://www.adzuna.in/land/ad/5762127621?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=DD130AF078C7BCB25B8A7F288F5DA272477F33AB
Sr Dynamics 365 Analyst - Customer Service,MSC Technology,"Chennai, Tamil Nadu",,,IT Jobs,"Requirements Gathering : Ability to define business and functional requirements by engaging with stakeholders, ensuring alignment with Microsoft Dynamics 365 and Power Platform capabilities. Solution Design: Expertise in collaborating with Solution Architects and Developers to create high-level and ",2026-06-10T18:05:24Z,https://www.adzuna.in/land/ad/5758517399?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=9F0A8940CDB5D83C0E7993F929CAD222242E7E01
Mega Walk in TCS Mumbai Hiring for Buyer,Tata Consultancy Services,"Mumbai, Maharashtra",,,Logistics & Warehouse Jobs,"Mega Walk in TCS Mumbai Hiring for Buyer INTERVIEW DETAILS: Interview date: 7th June 2026 – Sunday Interview time: 10:00 AM - 12:30 PM Venue: Tata Consultancy Services Ltd, Regent St, Hiranandani Estate, Olympus B, Thane West, Thane - 400607 Eligibility: Minimum 15 years of regular, full-time educat",2026-06-02T16:31:17Z,https://www.adzuna.in/land/ad/5749035962?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=9CC2BF69F9EBD3A5A768DF98677D0F3F597B81E3
Data Engineer,Johnson Electric,"Chennai, Tamil Nadu",,,IT Jobs,"Job Description Responsibilities: Data Pipeline Development: • Design, build, and maintain scalable and robust data pipelines to ingest, process, and transform data from various sources. • Collaborate with cross-functional teams to understand data requirements and implement efficient solutions. • En",2026-06-03T16:35:18Z,https://www.adzuna.in/land/ad/5750487445?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=684FC1AB4DBB4661878CC6B94132E0D8192800AD
Associate Product Manager,Talently,"Bangalore, Karnataka",,,IT Jobs,"Associate Product Manager Salary: ₹6 - ₹9 Lakhs per annum About the Company Talently is a tech-first recruitment company building the future of hiring. At the center of our ecosystem is TALIE , our AI-powered ATS and recruitment CRM that helps companies hire faster and smarter. We're a small, ambiti",2026-06-08T17:59:14Z,https://www.adzuna.in/land/ad/5756257734?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=EC2122686E0D670B426A72D2D2FE6CD53ADB9F91
Project Manager,TIF Hospitality,"Bangalore, Karnataka",,,Trade & Construction Jobs,"Khao Aur Khane Do is hiring a Project Manager in Bangalore to own the end-to-end fit-out of new outlets—from design to Day-1 launch. You’ll combine 2D/3D design fluency with on-site execution, contractor coordination, and tight project control to deliver on quality, budget, and timelines . Key Respo",2026-06-07T07:43:26Z,https://www.adzuna.in/land/ad/5754993932?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=47075E24259D34BF168BC937F14CF9B22E5D4015
Senior Technical Lead(Full Stack),Taglynk,"Mumbai, Maharashtra",,,IT Jobs,"About Taglynk At Taglynk, we are a leading talent acquisition and management consulting firm. We partner with fast-growing startups, SMEs, and industry pioneers to build dream teams that scale businesses from 0 to 1 and beyond. Our focus is on precision and excellence, ensuring we connect world-clas",2026-06-03T16:41:38Z,https://www.adzuna.in/land/ad/5750499099?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=B941594CEA9C0D53D8D9AE8FCF03BA7F154D9EF4
General Manager - Operations,Brandix,"Visakhapatnam, Andhra Pradesh",,,Engineering Jobs,"Scope The Plant Head is responsible for efficient management of the concerned Factory, with overall responsibility for optimum capacity utilization of the plant resulting in achievement of revenue and profitability targets. This includes managing the overall productivity, quality, profitability and ",2026-06-09T18:10:39Z,https://www.adzuna.in/land/ad/5757287017?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=39D6938536BCA2560BF5C14067CC1C8CBD294CC1
Head of Planning,ITD Cementation India Limited,"Rajasthan, India",,,IT Jobs,". Planning Head (1 Position) Location Project Site – Near Ajmer, Rajasthan Qualification B.E./B.Tech in Civil Engineering Experience Minimum 20 years of experience in planning and monitoring of irrigation, water supply, and hydraulic infrastructure projects Key Responsibilities Develop and maintain ",2026-06-14T14:45:59Z,https://www.adzuna.in/land/ad/5763490775?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=8CA154631D9698D43D29D853E47805A503DC411F
AI Dashboard Analyst intern,SAR Logistics ,"Mumbai, Maharashtra",,,IT Jobs,About SAR Transport: SAR is one of the leading Logistics companies in India in the supply chain and logistics industry on the international level. SAR Logistics is 500 people strong and one of its kind on the national and international level in the logistics domain. The annual turnover of the group ,2026-06-13T10:53:17Z,https://www.adzuna.in/land/ad/5762136391?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=09AF18505B72BB88C40C4B9EEF8C88DEB5FA0159
Executive - CA Fresher,Sudit K. Parekh & Co. LLP,"Bangalore, Karnataka",,,Accounting & Finance Jobs,"About Us: Sudit K. Parekh & Co. LLP (Formerly Sudit K. Parekh & Co.) was founded in 1962 as an audit and tax practice. Headquartered in Mumbai, registered with Institute of Chartered Accountants of India (ICAI). The firm has grown over the years and evolved into a multi-location and diversified orga",2026-06-04T16:47:37Z,https://www.adzuna.in/land/ad/5751932748?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=9150B6E4EC41C18D82B66BB29C7719C9A165FCF4
Design Manager - Kolkata,Design Cafe,"Kolkata, West Bengal",,,Consultancy Jobs,"Design Cafe is hiring Design Manager for Kolkata Store . Job Description:- Experience: 7 years of total experience, with at least 3 years in a managerial role. Responsibilities: Must have managed a monthly revenue of ₹1.5 crore or more. Team Management: Experience in handling a team of 10 in-house d",2026-06-10T18:02:25Z,https://www.adzuna.in/land/ad/5758514982?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=99D06384ED6325154C38B3B33659D3862CF551A1
Head of Architecture,Peoplefy,"Mumbai, Maharashtra",,,Trade & Construction Jobs," Hiring: Head of Architecture | Mumbai We are looking for a seasoned Architecture Leader to build and scale a high-performing Architecture Services practice supporting large-scale U.S. projects.  18 years of architectural experience with strong exposure to U.S. projects  Expertise in Revit, BIM, Aut",2026-06-03T16:36:01Z,https://www.adzuna.in/land/ad/5750487768?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=37B3DE6926B3F27EC2B4CCA9BE7D44D19625382F
Strategic Operations Leader – Delivery,Coforge,"Noida, Ghaziabad",,,IT Jobs,"Job Title: Business Operation Lead Experience: 12 years Location: Greater Noida We at Coforge are hiring Business Operation Lead with the following skillset: Drive alignment across multiple business units by standardizing metrics, dashboards, and reporting analytics Champion the adoption of AI and a",2026-06-03T16:35:15Z,https://www.adzuna.in/land/ad/5750487381?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=6644A1B6209026DA98DD02E7A1A195C75120B698
Accountant,TraceRT Services Private Limited,"Hyderabad, Telangana",,,Accounting & Finance Jobs,"JD- Accounting and Finance Job Title : Accountant Location : Hyderabad Department : Accounts and Finance Reports to : CFO/CEO Role Overview We are looking for a detail-oriented and motivate d Accounta nt with 1–3 years of experience to support day-to-day accounting operations, financial documentatio",2026-06-03T16:41:50Z,https://www.adzuna.in/land/ad/5750499302?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=8760C8E567C2D310069E496D6AFCEE91AA595056
